Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	pLI	DSI_g	DPI_g	N_diseases	N_SNPs
OTSC2	93999		otosclerosis 2			0.931	0.038	2	0
PIGS	94005	Q96S52	phosphatidylinositol glycan anchor biosynthesis class S		1.8127e-05	0.705	0.346	45	5
SCA18	94008		spinocerebellar ataxia 18 (sensory with neurogenic muscular atrophy)					5	0
SERHL	94009	Q9NQF3	serine hydrolase like (pseudogene)	Enzyme		0.931	0.154	3	0
TTYH2	94015	Q9BSA4	tweety family member 2	Ion channel	9.9328e-05	0.76	0.154	19	1
TRS-TGA2-1	94017		tRNA-Ser (anticodon TGA) 2-1					1	0
MUC16	94025	Q8WXI7	mucin 16, cell surface associated		8.2703e-112	0.479	0.808	236	4
POM121L2	94026	Q96KW2	POM121 transmembrane nucleoporin like 2	Nucleic acid binding	0.32747	0.861	0.192	7	9
CGB7	94027	P0DN87	chorionic gonadotropin subunit beta 7	Signaling	0.0052599			2	0
HTRA3	94031	P83110	HtrA serine peptidase 3	Enzyme	6.5843e-08	0.674	0.5	42	0
CAMK2N2	94032	Q96S95	calcium/calmodulin dependent protein kinase II inhibitor 2		0.22046	1.0	0.077	2	0
FTMT	94033	Q8N4E7	ferritin mitochondrial	Storage	0.0056072	0.686	0.423	29	0
ZNF101	94039	Q8IZC7	zinc finger protein 101		0.77153	1.0	0.077	7	3
SFXN1	94081	Q9H9B4	sideroflexin 1	Transporter	0.00097212	0.597	0.731	73	1
HSPB9	94086	Q9BQS6	heat shock protein family B (small) member 9					1	0
SFXN5	94097	Q8TD22	sideroflexin 5	Transporter	0.0001472	1.0	0.038	2	2
ORMDL1	94101	Q9P0S3	ORMDL sphingolipid biosynthesis regulator 1		0.12321	1.0	0.077	1	1
ORMDL3	94103	Q8N138	ORMDL sphingolipid biosynthesis regulator 3		0.78329	0.666	0.423	35	9
PAXBP1	94104	Q9Y5B6	PAX3 and PAX7 binding protein 1	Nucleic acid binding	0.99999	1.0		2	0
CGB8	94115	P0DN86	chorionic gonadotropin subunit beta 8		0.015956	0.585	0.654	79	0
SYTL3	94120	Q4VX76	synaptotagmin like 3		2.2377e-20	0.89	0.269	7	3
SYTL4	94121	Q96C24	synaptotagmin like 4		0.014122	0.861	0.115	6	1
SYTL5	94122	Q8TDW5	synaptotagmin like 5		0.00026919	0.931	0.038	2	2
ARHGAP12	94134	Q8IWW6	Rho GTPase activating protein 12	Enzyme modulator	5.513e-07	0.931	0.038	3	2
RP1L1	94137	Q8IWN7	RP1 like 1		1.8205e-10	0.78	0.154	20	12
CDRT15P1	94158		CMT1A duplicated region transcript 15 pseudogene 1			1.0	0.038	1	1
ABCC12	94160	Q96J65	ATP binding cassette subfamily C member 12	Transporter	4.5659e-49	0.931	0.077	7	0
SNORD46	94161		small nucleolar RNA, C/D box 46					1	0
OPN4	94233	Q9UHM6	opsin 4	G-protein coupled receptor	9.0073e-13	0.579	0.769	87	3
FOXQ1	94234	Q9C009	forkhead box Q1	Transcription factor	0.61849	0.61	0.615	67	0
GNG8	94235	Q9UK08	G protein subunit gamma 8	Enzyme modulator	0.164	0.931	0.115	5	0
H2AZ2	94239	Q71UI9	H2A.Z variant histone 2		0.4713			9	4
EPSTI1	94240	Q96J88	epithelial stromal interaction 1		3.3095e-25	0.805	0.154	12	1
TP53INP1	94241	Q96A56	tumor protein p53 inducible nuclear protein 1		0.00046552	0.595	0.654	72	2
PPP1R14A	94274	Q96A00	protein phosphatase 1 regulatory inhibitor subunit 14A		0.12672	0.716	0.423	28	1
AUTS5	94313		Autism, susceptibility to, 5			1.0	0.038	2	0
CEP41	95681	Q9BYV8	centrosomal protein 41		3.5915e-06	0.636	0.5	69	3
FNIP1	96459	Q8TF40	folliculin interacting protein 1		0.99957	0.743	0.346	24	5
TBC1D27P	96597		TBC1 domain family member 27, pseudogene					1	3
BMS1P20	96610		BMS1 pseudogene 20			0.682	0.577	28	0
LIMS3	96626	P0CW19;P0CW20	LIM zinc finger domain containing 3			0.839	0.115	9	0
TGS1	96764	Q96RS0	trimethylguanosine synthase 1		1.1034e-12	0.839	0.154	8	0
MYL12B	103910	O14950;P19105	myosin light chain 12B	Calcium-binding protein	0.11325	0.691	0.462	32	0
EGLN2	112398	Q96KS0	egl-9 family hypoxia inducible factor 2		0.72166	0.604	0.731	68	4
EGLN3	112399	Q9H6Z9	egl-9 family hypoxia inducible factor 3		0.0094753	0.575	0.654	97	13
BIRC8	112401	Q96P09	baculoviral IAP repeat containing 8	Enzyme modulator		0.861	0.192	4	0
CAVIN3	112464	Q969G5	caveolae associated protein 3	Transcription factor	7.9971e-05	0.674	0.423	36	2
PRRT2	112476	Q7Z6L0	proline rich transmembrane protein 2		0.57919	0.448	0.808	353	29
ERI2	112479	A8K979	ERI1 exoribonuclease family member 2		5.0234e-10	1.0	0.077	1	1
SAT2	112483	Q96F10	spermidine/spermine N1-acetyltransferase family member 2		2.7832e-06	0.686	0.462	37	2
SNX18	112574	Q96RF0	sorting nexin 18		0.95637	0.839	0.077	6	1
CYTOR	112597		cytoskeleton regulator RNA			0.568	0.577	90	1
MRAP2	112609	Q96G30	melanocortin 2 receptor accessory protein 2		2.5633e-07	0.792	0.269	10	1
CMTM7	112616	Q96FZ5	CKLF like MARVEL transmembrane domain containing 7		0.038169	0.751	0.308	16	2
TUBA3E	112714	Q6PEY2	tubulin alpha 3e	Cellular structure	2.0308e-08	0.861	0.115	4	1
RDH13	112724	Q8NBN7	retinol dehydrogenase 13		6.0402e-14	0.821	0.115	8	1
IL17F	112744	Q96PD4	interleukin 17F		0.039165	0.48	0.808	236	10
IFT43	112752	Q96FT9	intraflagellar transport 43		1.8153e-11	0.617	0.577	84	28
STX1B	112755	P61266	syntaxin 1B	Transporter	0.98766	0.65	0.308	58	17
KRT71	112802	Q3SY84	keratin 71		9.011e-07	0.743	0.308	28	1
FDX2	112812	Q6P4F2	ferredoxin 2		0.001652	0.78	0.346	20	3
HOGA1	112817	Q86XE5	4-hydroxy-2-oxoglutarate aldolase 1	Enzyme	1.5812e-14	0.792	0.192	15	44
L3HYPDH	112849	Q96EM0	trans-L-3-hydroxyproline dehydratase		9.2642e-07	1.0	0.077	1	0
TP53RK	112858	Q96S44	TP53 regulating kinase	Kinase	0.00077469	0.659	0.615	56	5
SGF29	112869	Q96ES7	SAGA complex associated factor 29		0.002139	0.792	0.269	12	9
PHF21B	112885	Q96EK2	PHD finger protein 21B		0.98689	0.792	0.154	12	0
NACC1	112939	Q96RE7	nucleus accumbens associated 1		0.99763	0.61	0.577	100	1
CFAP36	112942	Q96G28	cilia and flagella associated protein 36	Enzyme	2.1256e-05			2	0
MED8	112950	Q96G25	mediator complex subunit 8		2.844e-06	0.805	0.154	8	1
PLCD3	113026	Q8N3E9	phospholipase C delta 3	Enzyme	1.3373e-07	0.805	0.462	11	1
PTH2	113091	Q96A98	parathyroid hormone 2		0.0026248	0.931	0.154	3	0
MTFR2	113115	Q6P444	mitochondrial fission regulator 2		2.6584e-06	0.861	0.077	6	0
CDCA5	113130	Q96FF9	cell division cycle associated 5		0.0011583	0.563	0.808	105	3
AHNAK2	113146	Q8IVF2	AHNAK nucleoprotein 2		0.00064799	0.78	0.462	15	1
RPLP0P2	113157		ribosomal protein lateral stalk subunit P0 pseudogene 2			0.89	0.154	8	5
SAAL1	113174	Q96ER3	serum amyloid A like 1		4.3242e-09	0.89	0.115	4	1
SCAMP4	113178	Q969E2	secretory carrier membrane protein 4	Enzyme	0.0045692	0.931	0.077	3	2
ADAT3	113179	Q96EY9	adenosine deaminase tRNA specific 3		0.0056059	0.736	0.385	25	2
CHST14	113189	Q8NCH0	carbohydrate sulfotransferase 14	Enzyme	0.44727	0.638	0.654	89	13
CASC4	113201	Q6P4E1	cancer susceptibility 4		7.1603e-05	1.0	0.077	1	0
KIF12	113220	Q96FN5	kinesin family member 12	Cellular structure	4.1596e-12	0.861	0.154	4	2
SLC46A1	113235	Q96NT5	solute carrier family 46 member 1	Transporter	0.021858	0.606	0.731	97	20
C12orf57	113246	Q99622	chromosome 12 open reading frame 57		5.2408e-05	0.641	0.5	62	7
LARP4	113251	Q71RC2	La ribonucleoprotein 4	Nucleic acid binding	0.86884	0.78	0.192	14	0
GLCCI1	113263	Q86VQ1	glucocorticoid induced 1		0.05903	0.716	0.385	27	18
TMEM106A	113277	Q96A25	transmembrane protein 106A		1.8357e-07	0.839	0.192	11	0
SLC52A3	113278	Q9NQ40	solute carrier family 52 member 3	Transporter	0.019348	0.61	0.654	103	34
SMIM12	113444	Q96EX1	small integral membrane protein 12		0.56679	0.78	0.192	15	30
AZIN2	113451	Q96A70	antizyme inhibitor 2	Enzyme	8.8707e-07	0.499	0.808	187	2
TMEM54	113452	Q969K7	transmembrane protein 54		0.0030921	0.716	0.5	26	0
TUBA3D	113457	P0DPH7;P0DPH8	tubulin alpha 3d		7.2364e-10	0.839	0.269	10	2
HELQ	113510	Q8TDG4	helicase, POLQ like		6.4877e-12	0.729	0.308	21	3
CMTM1	113540	Q8IZ96	CKLF like MARVEL transmembrane domain containing 1		0.0022376	0.769	0.269	14	1
CYP2U1	113612	Q7Z449	cytochrome P450 family 2 subfamily U member 1		0.0014201	0.722	0.462	34	9
ADPRHL1	113622	Q8NDY3	ADP-ribosylhydrolase like 1	Enzyme	3.491e-11	1.0	0.077	1	0
SDSL	113675	Q96GA7	serine dehydratase like	Enzyme	1.3641e-11			1	0
KLHDC7B	113730	Q96G42	kelch domain containing 7B		1.192e-09	0.861	0.154	11	4
ODF3	113746	Q96PU9	outer dense fiber of sperm tails 3	Cellular structure	0.14655	0.839	0.154	10	2
PIK3IP1	113791	Q96FE7	phosphoinositide-3-kinase interacting protein 1	Enzyme	0.015067	0.769	0.385	19	1
HENMT1	113802	Q5T8I9	HEN methyltransferase 1		6.8224e-10	0.821	0.308	6	0
FAM83F	113828	Q8NEG4	family with sequence similarity 83 member F		1.762e-11	0.792	0.231	10	1
SLC35A4	113829	Q96G79	solute carrier family 35 member A4	Transporter	8.8682e-05	0.821	0.231	7	0
ZNF257	113835	Q9Y2Q1	zinc finger protein 257		0.018857	0.931	0.154	2	2
DTX2	113878	Q86UW9	deltex E3 ubiquitin ligase 2	Enzyme	0.028903	0.792	0.077	10	0
TOE1	114034	Q96GM8	target of EGR1, exonuclease	Nucleic acid binding	6.0443e-16	0.682	0.462	51	14
LINC00310	114036	P59036	long intergenic non-protein coding RNA 310			0.931	0.077	4	0
LINC00313	114038	P59037	long intergenic non-protein coding RNA 313			0.736	0.154	17	0
B3GALT5-AS1	114041	P59052	B3GALT5 antisense RNA 1		0.22348	0.78	0.115	10	0
LINC00334	114042		long intergenic non-protein coding RNA 334					1	2
MCM3AP-AS1	114044		MCM3AP antisense RNA 1			0.76	0.154	16	5
BUD23	114049	O43709	BUD23 rRNA methyltransferase and ribosome maturation factor	Enzyme	7.6593e-05	0.839	0.269	11	4
DBA2	114086		Diamond-Blackfan anemia 2			0.599	0.731	74	0
TRIM9	114088	Q9C026	tripartite motif containing 9		0.99973	0.705	0.5	24	2
TXNRD3	114112	Q86VQ6	thioredoxin reductase 3	Enzyme	8.3449e-08	0.653	0.615	37	2
UCN3	114131	Q969E3	urocortin 3		0.043878	0.593	0.731	82	0
SLC2A13	114134	Q96QE2	solute carrier family 2 member 13	Transporter	0.83307	0.78	0.269	20	9
ANBC	114293		Aneurysmal bone cysts			0.861	0.077	5	0
LACTB	114294	P83111	lactamase beta		1.975e-06	0.839	0.192	12	2
EFHC1	114327	Q5JVL4	EF-hand domain containing 1		1.8959e-17	0.659	0.231	52	37
CGB1	114335	A6NKQ9	chorionic gonadotropin subunit beta 1	Signaling	0.036312	0.861	0.115	6	0
CGB2	114336	Q6NT52	chorionic gonadotropin subunit beta 2	Signaling	0.030408	0.861	0.115	6	0
AD7	114475		Alzheimer disease 7			0.861	0.192	4	0
NLRP3	114548	Q96P20	NLR family pyrin domain containing 3		0.00081103	0.361	0.962	805	74
NMTC3	114568		Nonmedullary thyroid carcinoma 3			0.89	0.115	4	0
MAL2	114569	Q969L2	mal, T cell differentiation protein 2 (gene/pseudogene)	Transporter	0.13691	0.711	0.231	25	2
SLC22A9	114571	Q8IVM8	solute carrier family 22 member 9	Transporter	4.2676e-19	0.89	0.269	4	2
TIRAP	114609	P58753	TIR domain containing adaptor protein		0.00076118	0.604	0.769	74	10
MIR155HG	114614		MIR155 host gene			0.617	0.615	56	8
ERMAP	114625	Q96PL5	erythroblast membrane associated protein (Scianna blood group)	Enzyme modulator	4.9067e-10			2	2
LRRC37B	114659	Q96QE4	leucine rich repeat containing 37B		0.0064058	1.0	0.115	3	1
CYGB	114757	Q8WWM9	cytoglobin		0.10249	0.579	0.577	88	6
CARD16	114769	Q5EG05	caspase recruitment domain family member 16		0.38275	0.695	0.615	30	2
PGLYRP2	114770	Q96PD5	peptidoglycan recognition protein 2		2.6765e-11	0.805	0.231	12	8
PGLYRP3	114771	Q96LB9	peptidoglycan recognition protein 3		9.6075e-08	0.792	0.192	9	1
PKD1L2	114780	Q7Z442	polycystin 1 like 2 (gene/pseudogene)	Ion channel	2.0902e-05	0.861	0.154	9	6
BTBD9	114781	Q96Q07	BTB domain containing 9		7.0655e-09	0.691	0.423	27	40
LMTK3	114783	Q96Q04	lemur tyrosine kinase 3	Kinase	0.99997	0.736	0.269	24	2
CSMD2	114784	Q7Z408	CUB and Sushi multiple domains 2			0.695	0.269	27	18
MBD6	114785	Q96DN6	methyl-CpG binding domain protein 6		0.99937	0.931	0.192	4	1
XKR4	114786	Q5GH76	XK related 4		0.99912	0.821	0.154	17	33
GPRIN1	114787	Q7Z2K8	G protein regulated inducer of neurite outgrowth 1		0.97001	1.0	0.038	1	0
CSMD3	114788	Q7Z407	CUB and Sushi multiple domains 3		0.057105	0.695	0.5	31	8
SLC25A25	114789	Q6KCM7	solute carrier family 25 member 25	Transporter	0.023986	0.89	0.154	5	0
STK11IP	114790	Q8N1F8	serine/threonine kinase 11 interacting protein	Enzyme modulator	8.598e-20	0.861	0.192	7	0
TUBGCP5	114791	Q96RT8	tubulin gamma complex associated protein 5	Cellular structure	1.2275e-12	0.769	0.346	13	0
KLHL32	114792	Q96NJ5	kelch like family member 32		0.0093469	0.931	0.115	9	11
FMNL2	114793	Q96PY5	formin like 2		0.9932	0.729	0.231	25	8
ELFN2	114794	Q5R3F8	extracellular leucine rich repeat and fibronectin type III domain containing 2	Receptor	0.96483	0.861	0.038	5	0
TMEM132B	114795	Q14DG7	transmembrane protein 132B		0.99876	0.861	0.154	6	4
PSMG3-AS1	114796	Q96PY0	PSMG3 antisense RNA 1 (head to head)			0.931	0.077	2	0
SLITRK1	114798	Q96PX8	SLIT and NTRK like family member 1		0.95737	0.736	0.308	26	6
ESCO1	114799	Q5FWF5	establishment of sister chromatid cohesion N-acetyltransferase 1		0.99995	0.682	0.462	32	4
CCDC85A	114800	Q96PX6	coiled-coil domain containing 85A		1.5427e-05	0.931	0.077	6	6
TMEM200A	114801	Q86VY9	transmembrane protein 200A		0.85062	0.89	0.038	6	1
MYSM1	114803	Q5VVJ2	Myb like, SWIRM and MPN domains 1	Enzyme	0.043365	0.7	0.462	37	3
RNF157	114804	Q96PX1	ring finger protein 157	Enzyme	6.3025e-09	1.0	0.077	3	3
GALNT13	114805	Q8IUC8	polypeptide N-acetylgalactosaminyltransferase 13	Enzyme	0.99066	0.89	0.154	8	6
GNRHR2	114814	Q96P88	gonadotropin releasing hormone receptor 2 (pseudogene)	G-protein coupled receptor		0.821	0.192	9	1
SORCS1	114815	Q8WY21	sortilin related VPS10 domain containing receptor 1	Transporter	0.55937	0.751	0.346	23	10
KLHL29	114818	Q96CT2	kelch like family member 29		0.98532	0.89	0.115	15	12
CROCCP3	114819	Q8IVE0	CROCC pseudogene 3	Enzyme modulator				1	1
ZBED9	114821	Q6R2W3	zinc finger BED-type containing 9		3.9877e-09	0.821	0.269	11	7
RHPN1	114822	Q8TCX5	rhophilin Rho GTPase binding protein 1	Enzyme modulator	1.025e-12	0.821	0.192	9	0
LENG8	114823	Q96PV6	leukocyte receptor cluster member 8		0.99938	1.0	0.077	1	1
PWWP2A	114825	Q96N64	PWWP domain containing 2A		0.98292	1.0	0.077	2	1
SMYD4	114826	Q8IYR2	SET and MYND domain containing 4		8.7782e-15	0.792	0.077	11	0
FHAD1	114827	B1AJZ9	forkhead associated phosphopeptide binding domain 1		0.00013667	0.839	0.154	5	2
SLAMF6	114836	Q96DU3	SLAM family member 6	Enzyme	0.018712	0.751	0.346	19	2
OSBPL1A	114876	Q9BXW6	oxysterol binding protein like 1A		2.576e-07	0.769	0.346	16	7
OSBPL5	114879	Q9H0X9	oxysterol binding protein like 5		4.6494e-06	0.792	0.346	14	1
OSBPL6	114880	Q9BZF3	oxysterol binding protein like 6		0.99999	1.0	0.077	3	2
OSBPL7	114881	Q9BZF2	oxysterol binding protein like 7		0.0028675	0.931	0.154	5	3
OSBPL8	114882	Q9BZF1	oxysterol binding protein like 8		0.010518	0.821	0.269	9	0
OSBPL9	114883	Q96SU4	oxysterol binding protein like 9		0.97558	0.931	0.192	2	0
OSBPL10	114884	Q9BXB5	oxysterol binding protein like 10		3.3256e-07	0.78	0.269	12	4
OSBPL11	114885	Q9BXB4	oxysterol binding protein like 11		0.83432	0.861	0.192	7	3
C1QTNF1	114897	Q9BXJ1	C1q and TNF related 1		0.00042421	0.7	0.346	27	0
C1QTNF3	114899	Q9BXJ4	C1q and TNF related 3		1.8089e-07	0.695	0.577	26	2
C1QTNF4	114900	Q9BXJ3	C1q and TNF related 4		0.17229	0.861	0.154	7	1
C1QTNF5	114902	Q9BXJ0	C1q and TNF related 5		0.83565	0.663	0.346	45	22
C1QTNF6	114904	Q9BXI9	C1q and TNF related 6		9.0082e-06	0.682	0.577	33	5
C1QTNF7	114905	Q9BXJ2	C1q and TNF related 7		8.9772e-05	0.861	0.192	9	6
FBXO32	114907	Q969P5	F-box protein 32		0.99692	0.636	0.615	68	4
EPB41L4A-AS1	114915		EPB41L4A antisense RNA 1			1.0	0.038	4	0
SMIM19	114926	Q96E16	small integral membrane protein 19		0.34399			1	4
GPRASP2	114928	Q96D09	G protein-coupled receptor associated sorting protein 2		0.98751	0.839	0.154	13	0
TSGA13	114960	Q96PP4	testis specific 13		7.3935e-10	0.78	0.154	9	1
PTPMT1	114971	Q8WUK0	protein tyrosine phosphatase mitochondrial 1		0.012681	0.805	0.154	10	1
WDR31	114987	Q8NA23	WD repeat domain 31		1.5482e-09			1	1
VASN	114990	Q6EMK4	vasorin	Receptor	0.67248	0.722	0.269	27	2
ZNF618	114991	Q5T7W0	zinc finger protein 618	Transcription factor	0.99842	0.839	0.308	8	9
CGAS	115004	Q8N884	cyclic GMP-AMP synthase		8.6912e-09	0.705	0.538	40	3
SLC26A9	115019	Q7LBE3	solute carrier family 26 member 9	Transporter	0.012733	0.743	0.423	19	17
NT5C3B	115024	Q969T7	5'-nucleotidase, cytosolic IIIB	Enzyme	3.662e-10	1.0	0.077	1	0
HAUS1	115106	Q96CS2	HAUS augmin like complex subunit 1		3.5522e-08	1.0	0.077	3	3
TNFRSF14-AS1	115110		TNFRSF14 antisense RNA 1					1	1
SLC26A7	115111	Q8TE54	solute carrier family 26 member 7	Transporter	1.9125e-09	0.751	0.423	22	3
MARCHF3	115123	Q86UD3	membrane associated ring-CH-type finger 3		0.17324	0.743	0.423	17	1
ATG4A	115201	Q8WYN0	autophagy related 4A cysteine peptidase	Enzyme	0.98953	0.76	0.192	16	3
KCTD12	115207	Q96CX2	potassium channel tetramerization domain containing 12	Enzyme modulator	0.061693	0.78	0.231	19	0
OMA1	115209	Q96E52	OMA1 zinc metallopeptidase	Enzyme	1.2241e-11	0.716	0.462	24	1
DDIT4L	115265	Q96D03	DNA damage inducible transcript 4 like		1.5197e-06	1.0	0.038	1	0
RAB42	115273	Q8N4Z0	RAB42, member RAS oncogene family	Enzyme modulator	0.0029709	1.0	0.038	1	0
SLC25A26	115286	Q70HW3	solute carrier family 25 member 26	Transporter	2.5832e-07	0.716	0.308	40	13
FBXO17	115290	Q96EF6	F-box protein 17		5.6825e-13	0.839	0.115	11	2
PCMTD1	115294	Q96MG8	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	Enzyme	0.26735	0.89	0.077	4	2
GPR146	115330	Q96CH1	G protein-coupled receptor 146	G-protein coupled receptor	0.1493	1.0	0.038	4	2
FCRL1	115350	Q96LA6	Fc receptor like 1	Cell adhesion	3.9509e-06	0.751	0.308	16	4
FCRL3	115352	Q96P31	Fc receptor like 3	Cell adhesion	5.9739e-21	0.612	0.769	62	13
LRRC42	115353	Q9Y546	leucine rich repeat containing 42		1.3431e-08	0.89	0.077	4	0
GBP4	115361	Q96PP9	guanylate binding protein 4	Enzyme modulator	9.1784e-16	1.0	0.077	2	0
GBP5	115362	Q96PP8	guanylate binding protein 5	Enzyme modulator	8.112e-10	0.78	0.385	13	0
LRRC56	115399	Q8IYG6	leucine rich repeat containing 56		7.6752e-10	0.67	0.5	45	33
MALSU1	115416	Q96EH3	mitochondrial assembly of ribosomal large subunit 1		1.6777e-11			1	1
UHRF2	115426	Q96PU4	ubiquitin like with PHD and ring finger domains 2	Enzyme	0.99928	0.7	0.308	33	5
ZNF689	115509	Q96CS4	zinc finger protein 689		0.41789	0.821	0.154	8	0
FCHO2	115548	Q0JRZ9	FCH and mu domain containing endocytic adaptor 2		0.99973			3	3
ARHGEF25	115557	Q86VW2	Rho guanine nucleotide exchange factor 25	Signaling	2.9481e-10	0.792	0.231	11	1
ZNF501	115560	Q96CX3	zinc finger protein 501	Transcription factor	0.28125	0.792	0.308	15	0
TENT5B	115572	Q96A09	terminal nucleotidyltransferase 5B		0.18261	0.931	0.077	5	0
SLC5A11	115584	Q8WWX8	solute carrier family 5 member 11	Transporter	1.6748e-13	0.792	0.423	9	4
TNFRSF13C	115650	Q96RJ3	TNF receptor superfamily member 13C		0.26993	0.54	0.731	127	2
KIR3DL3	115653	Q8N743	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3	Receptor	0.00012102	0.861	0.346	7	3
NOSTRIN	115677	Q8IVI9	nitric oxide synthase trafficking		3.2029e-16	0.805	0.346	18	7
ALPK2	115701	Q86TB3	alpha kinase 2	Kinase	1.0376e-21	0.751	0.346	19	4
ARHGAP33	115703	O14559	Rho GTPase activating protein 33		0.028562	1.0	0.038	2	1
EVI5L	115704	Q96CN4	ecotropic viral integration site 5 like	Enzyme	0.99985			1	1
TRMT61A	115708	Q96FX7	tRNA methyltransferase 61A	Enzyme	0.024387	0.931	0.038	3	1
RASGRP4	115727	Q8TDF6	RAS guanyl releasing protein 4	Enzyme modulator	0.037579	0.78	0.231	12	1
DIS3L	115752	Q8TF46	DIS3 like exosome 3'-5' exoribonuclease	Enzyme	1.4172e-18	0.89	0.038	5	2
ARL11	115761	Q969Q4	ADP ribosylation factor like GTPase 11		0.0052678	0.67	0.423	35	6
FANCD2OS	115795	Q96PS1	FANCD2 opposite strand		0.022748	1.0	0.115	1	3
IQCD	115811	Q96DY2	IQ motif containing D		1.7712e-09	1.0	0.077	1	0
DHRS1	115817	Q96LJ7	dehydrogenase/reductase 1		3.9562e-15			2	0
WDFY2	115825	Q96P53	WD repeat and FYVE domain containing 2		1.5198e-08	0.821	0.154	13	0
NXNL1	115861	Q96CM4	nucleoredoxin like 1		0.011891	1.0	0.077	5	0
CTHRC1	115908	Q96CG8	collagen triple helix repeat containing 1	Enzyme	2.6661e-05	0.556	0.692	105	1
CCDC151	115948	A5D8V7	coiled-coil domain containing 151		3.4684e-15	0.659	0.577	53	7
RNF166	115992	Q96A37	ring finger protein 166		0.48668			1	1
RMI2	116028	Q96E14	RecQ mediated genome instability 2		0.018953	0.666	0.5	38	38
OSR2	116039	Q8N2R0	odd-skipped related transciption factor 2	Transcription factor	0.13046	0.792	0.385	8	0
LRRC58	116064	Q96CX6	leucine rich repeat containing 58		0.003659	0.931	0.077	2	0
LYSMD3	116068	Q7Z3D4	LysM domain containing 3		0.30382	0.931	0.077	3	0
BATF2	116071	Q8N1L9	basic leucine zipper ATF-like transcription factor 2	Transcription factor	0.58536	0.638	0.385	62	0
SLC22A12	116085	Q96S37	solute carrier family 22 member 12	Transporter	1.6891e-13	0.647	0.538	43	35
DNTTIP1	116092	Q9H147	deoxynucleotidyltransferase terminal interacting protein 1		0.7272	0.861	0.077	11	2
DIRC1	116093	Q969H9	disrupted in renal carcinoma 1			0.861	0.154	10	0
FOXP4	116113	Q8IVH2	forkhead box P4		0.98242	0.7	0.346	30	4
ZNF526	116115	Q8TF50	zinc finger protein 526		0.52316	0.89	0.192	6	2
LRRC3B	116135	Q96PB8	leucine rich repeat containing 3B	Receptor	0.44415	0.695	0.308	31	2
WDR92	116143	Q96MX6	WD repeat domain 92	Nucleic acid binding	0.008485	0.931	0.077	6	4
NUS1	116150	Q96E22	NUS1 dehydrodolichyl diphosphate synthase subunit		0.98117	0.619	0.615	94	6
FAM210B	116151	Q96KR6	family with sequence similarity 210 member B		0.087064	0.89	0.115	8	1
PHACTR3	116154	Q96KR7	phosphatase and actin regulator 3	Enzyme modulator	0.99687	0.861	0.231	6	9
CYYR1	116159	Q96J86	cysteine and tyrosine rich 1		0.00044425			2	1
CMTM5	116173	Q96DZ9	CKLF like MARVEL transmembrane domain containing 5		0.065782	0.743	0.231	19	2
TGM7	116179	Q96PF1	transglutaminase 7	Enzyme	7.8438e-20	0.839	0.154	6	0
TM4SF19	116211	Q96DZ7	transmembrane 4 L six family member 19		2.9569e-06	1.0	0.077	2	1
FAM122A	116224	Q96E09	family with sequence similarity 122A		0.4938	1.0	0.077	1	0
ZMYND19	116225	Q96E35	zinc finger MYND-type containing 19		0.95174	1.0	0.077	2	0
COX20	116228	Q5RI15	cytochrome c oxidase assembly factor COX20		0.020118	0.705	0.538	44	1
ABHD15	116236	Q6UXT9	abhydrolase domain containing 15	Enzyme	3.5459e-08	0.931	0.115	3	0
MOGAT1	116255	Q96PD6	monoacylglycerol O-acyltransferase 1	Enzyme	1.566e-10	0.861	0.115	5	0
ACSM1	116285	Q08AH1	acyl-CoA synthetase medium chain family member 1	Enzyme	2.2841e-15	0.769	0.269	13	4
C8orf34	116328	Q49A92	chromosome 8 open reading frame 34		1.4855e-12	0.931	0.154	7	6
PANX3	116337	Q96QZ0	pannexin 3	Ion channel	3.9672e-05	0.751	0.308	16	0
EXOC3-AS1	116349	Q8N2X6	EXOC3 antisense RNA 1			1.0	0.038	1	1
RBP7	116362	Q96R05	retinol binding protein 7		0.54133	0.792	0.346	17	0
SLC26A8	116369	Q96RN1	solute carrier family 26 member 8	Transporter	4.2638e-12	0.722	0.308	25	4
LYPD1	116372	Q8N2G4	LY6/PLAUR domain containing 1		0.00055354	0.805	0.346	10	0
IL22RA2	116379	Q969J5	interleukin 22 receptor subunit alpha 2	Receptor	1.2114e-16	0.682	0.5	30	0
LINC01257	116437		long intergenic non-protein coding RNA 1257					1	1
TM4SF18	116441	Q96CE8	transmembrane 4 L six family member 18		2.1148e-06	0.89	0.231	6	1
RAB39B	116442	Q96DA2	RAB39B, member RAS oncogene family		0.82529	0.619	0.615	90	5
GRIN3A	116443	Q8TCU5	glutamate ionotropic receptor NMDA type subunit 3A	Ion channel	0.45327	0.743	0.423	24	4
GRIN3B	116444	O60391	glutamate ionotropic receptor NMDA type subunit 3B	Ion channel	2.0223e-07	0.792	0.231	9	3
TOP1MT	116447	Q969P6	DNA topoisomerase I mitochondrial	Enzyme	2.4353e-34	0.805	0.154	10	3
OLIG1	116448	Q8TAK6	oligodendrocyte transcription factor 1	Enzyme	0.66074	0.722	0.423	21	0
